OBJECTID,bcr_label,bcr_label_name,name_en,name_fr,name_sp,globalid,SHAPE_Length,SHAPE_Area
238,3S,Southern Arctic,Southern Arctic,Plaine artique sud,,{8FB7A9BB-47D1-4101-AAEE-2C5AA33A3969},3126.13064882277,542032.880188262
239,3S,Southern Arctic,Southern Arctic,Plaine artique sud,,{FDAC9A4E-4ABC-4FE5-B1EC-020FA51E2936},3460.1550056974,619211.993377321
240,3S,Southern Arctic,Southern Arctic,Plaine artique sud,,{DB548D14-EE97-48DC-9F1C-7827E658F97C},10303.3118874759,4902458.08718572
241,3S,Southern Arctic,Southern Arctic,Plaine artique sud,,{F10D1D34-F787-432D-A26A-F04A527500FB},13383.5126012159,7603596.19582167
242,3S,Southern Arctic,Southern Arctic,Plaine artique sud,,{6103ADC1-EC26-4203-A147-1D608F5347B1},19028.1682915204,19141859.341527
243,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{BD5B7758-5BAD-4BA4-9F42-75EEEE14D25D},3722.86845779535,873921.569289794
244,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{FD44A98B-A0D9-411F-AB9C-67B35272ABEF},4193.44696173261,550277.226725689
245,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{F02CC479-4AB5-49EC-922B-1930F89611B0},3692.15851214795,810835.714258888
246,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{690F8D4C-217D-43C3-BEF7-01AD7E2CBD78},3043.24448533006,605344.015231107
247,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{DCFFCFB4-1174-450E-BE46-E19C4FC04F55},4162.33476869313,883030.978429687
248,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{315E14E1-8DB7-4EBE-81C5-190AFF5B9AD7},4740.44875064341,1472852.70737315
249,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{6202D20C-A50C-4F94-BCD6-ACA62B52C4FA},5523.79460455462,2000211.95169404
250,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{6C1D9D4A-F1F8-44BD-8E49-6CEEE126AEEC},196674.510176099,487159393.876113
251,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{89809C1F-4A87-47C3-ABC0-0C8BF714CCC0},4945.29141908988,1342569.37527609
252,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{9FDECFFF-618C-4085-B550-F91FE8747177},5522.05103713198,987100.456365
253,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{9AE12F13-A0B1-406F-A2AD-CB7E30E05E01},19020.2610282195,9957731.1049563
254,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{5C9D019E-4C1A-4757-A28C-CB5ACF1B5E8D},4140.30337844424,736690.490266122
255,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{CA11EDCE-E410-49C7-8D69-98362E899DEA},3861.20753083128,623600.785984745
256,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{F7B860AC-C7A8-4E3B-8263-F4F7C558E1CF},14836.9121913543,8349166.42784775
